sku,price,special_price
SAAI12849,5795,4636
SAAI12850,5695,4556
SAAI12851,4895,3916
SAAI12852,4945,3956
SAAI12853,4495,3596
SAAI12854,5595,4476
SAAI12855,5795,4636
SAAI12856,4995,3996
SAAI12857,5545,4436
SAAI12858,5845,4676
SKDAH4053,4545,3865
SKDAH4054,3945,3355
SKDAH4055,4745,4035
SKDAH4056,4645,3950
SKDAH4057,4645,3950
SKDAH4058,4395,3740
SKDAH4059,3645,3100
SKDAH4060,3645,3100
SKDAI4113,4195,3570
SKDAI4114,4195,3570
SKDAI4115,4195,3570
SKDAI4116,4195,3570
SKDAI4117,4195,3570
SKDAI4118,4195,3570
SKDAI4119,4195,3570
SKDAI4120,4195,3570
SKDAI4121,4195,3570
SKDAI4122,4195,3570
SKDAI4083,3195,2720
SKDAI4084,3195,2720
SKDAI4085,3195,2720
SKDAI4086,3195,2720
SKDAI4087,3195,2720
SKDAI4088,3195,2720
SKDAI4089,3195,2720
SKDAI4090,3195,2720
SKDAI4126,12545,10665
SKDAI4127,10345,8795
SKDAI4128,8095,6885
SKDAI4129,7245,6160
SKDAI4130,7245,6160
SKDAI4131,11995,10200
SKDAI4132,7045,5990
SKDAI4133,7045,5990
SKDAI4134,9895,8415
SKDAI4135,7745,6585
SKDAI4136,8195,6970
SKDAI4137,7295,6205
SKDAI4138,6995,5950
SKDAI4139,9995,8500
SKDAI4140,7495,6375
SKDAI4141,9145,7775
SKDAI4142,9195,7820
SKDAI4143,7145,6075
SKDAI4144,7945,6755
SKDAI4145,9195,7820
SKDAI4146,9195,7820
SKDAI4147,6145,5225
SKDAI4148,9545,8115
SKDAI4149,9545,8115
SKDAI4150,8045,6840
SKDAI4151,8045,6840
SKDAI4152,9545,8115
SKDAI4153,9545,8115
SKDAI4154,8345,7095
SKDAI4155,12745,10835
SKDAI4156,12745,10835
SKDAI4123,8045,6840
SKDAI4124,11695,9945
SKDAI4125,9295,7905
KRTAI1659,8045,6840
KRTAI1660,12645,10750
SKDAI4091,5845,4970
SKDAI4092,6495,5525
SKDAI4093,6195,5270
SKDAI4094,7595,6460
SKDAI4095,6695,5360
KIDSAI1130,5695,4560
KIDSAI1131,4045,3240
KIDSAI1132,4445,3560
KIDSAI1133,3395,2720
KIDSAI1134,4045,3240
KIDSAI1135,4045,3240
KIDSAI1136,4045,3240
KIDSAI1137,3795,3040
KIDSAI1138,5795,4640
KIDSAI1139,5095,4080
KIDSAI1140,5095,4080
KIDSAI1141,5095,4080
KIDSAI1142,4445,3560
