sku,position,,,,,,,
SAAB1414,196,,,,,,,
SKDAA17547,197,,,,,,,
CCAC1203,198,,,,,,,
SAAA29838,199,,,,,,,
SAAD5472,200,,,,,,,
SAAD4814,201,,,,,,,
CCAC1217,202,,,,,,,
PSAAD5066,203,,,,,,,
SAAE7516,204,,,,,,,
SKDAD1865,205,,,,,,,
CCAC1443,206,,,,,,,
PSAAC4063,207,,,,,,,
SKDAA17609,208,,,,,,,
SAAA29394,209,,,,,,,
SAAA29170,210,,,,,,,
CCAA3933,211,,,,,,,
SAAE7318,212,,,,,,,
SKDAC1609,213,,,,,,,
SKDAD1872,214,,,,,,,
SAAD6384,215,,,,,,,
SKDAA17299,216,,,,,,,
CCAE1570,217,,,,,,,
SAAE7314,218,,,,,,,
SKDAE1942,219,,,,,,,
CCAA3932,220,,,,,,,
SAAD4813,221,,,,,,,
SAAD4845,222,,,,,,,
SAAD5271,223,,,,,,,
SKDAA14841,224,,,,,,,
SAAE7384,225,,,,,,,
CCAC1433,226,,,,,,,
SAAA27751,227,,,,,,,
SAAD5276,228,,,,,,,
SKDAA17106,229,,,,,,,
SAAA29842,230,,,,,,,
SAAD5735,231,,,,,,,
SKDAC1530,232,,,,,,,
CCAE1567,233,,,,,,,
PSAAD4957,234,,,,,,,
SAAA28874,235,,,,,,,
SKDAC1584,236,,,,,,,
SAAE7187,237,,,,,,,
SKDAD1736,238,,,,,,,
SKDAB1251,239,,,,,,,
PSAAD5766,240,,,,,,,
SAAC3916,241,,,,,,,
SAAD6383,242,,,,,,,
PSAAD5087,243,,,,,,,
SKDAE2129,244,,,,,,,
SAAA29152,245,,,,,,,
SKDAC1532,246,,,,,,,
SKDAC1580,247,,,,,,,
CCAC1394,248,,,,,,,
SKDAA17570,249,,,,,,,
CCAA1758,250,,,,,,,
CCAA3984,251,,,,,,,
CCAC1503,252,,,,,,,
SKDAA7801,253,,,,,,,
CCAA3307,254,,,,,,,
CCAC1222,255,,,,,,,
SAAA29832,256,,,,,,,
SAAC3569,257,,,,,,,
PSAAB1373,258,,,,,,,
SAAC3963,259,,,,,,,
SAAD4809,260,,,,,,,
SAAE7325,261,,,,,,,
CCAC1304,262,,,,,,,
SAAA29639,263,,,,,,,
PSAAD4644,264,,,,,,,
CCAB1163,265,,,,,,,
PSAAD6792,266,,,,,,,
SAAE7524,267,,,,,,,
SAAE7585,268,,,,,,,
SAAA27574,269,,,,,,,
PSAAD5118,270,,,,,,,
PSAAD5621,271,,,,,,,
SAAD6742,272,,,,,,,
PGWAA0455,273,,,,,,,
SKDAA17114,274,,,,,,,
CCAE1663,275,,,,,,,
SAAD4832,276,,,,,,,
SAAE7520,277,,,,,,,
SAAD5566,278,,,,,,,
CCAE1578,279,,,,,,,
SAAA28875,280,,,,,,,
SAAE7133,281,,,,,,,
SAAE7380,282,,,,,,,
SKDAE2173,283,,,,,,,
PGWAA0523,284,,,,,,,
PSAAC4354,285,,,,,,,
PSKDAA15929,286,,,,,,,
SKDAA16703,287,,,,,,,
SKDAD1804,288,,,,,,,
CCAC1501,289,,,,,,,
SKDAD1892,290,,,,,,,
CCAA4028,291,,,,,,,
PSAAC4292,292,,,,,,,
PSAAD5348,293,,,,,,,
SKDAD1871,294,,,,,,,
CCAA3977,295,,,,,,,
CCAC1366,296,,,,,,,
CCAE1554,297,,,,,,,
CCAC1454,298,,,,,,,
CCAC1471,299,,,,,,,
CCAC1502,300,,,,,,,
SAAA25387,301,,,,,,,
SKDAA14242,302,,,,,,,
PSAAD5082,303,,,,,,,
SAAC3971,304,,,,,,,
SAAE7402,305,,,,,,,
SAAE7422,306,,,,,,,
SAAE7564,307,,,,,,,
SAAE7391,308,,,,,,,
CCAA3936,309,,,,,,,
SKDAC1627,310,,,,,,,
SAAE7382,311,,,,,,,
CCAA3982,312,,,,,,,
SAAA27374,313,,,,,,,
SAAA29851,314,,,,,,,
SKDAA13504,315,,,,,,,
CCAC1375,316,,,,,,,
PSAAD5844,317,,,,,,,
SAAD4746,318,,,,,,,
SAAD6249,319,,,,,,,
SAAE7319,320,,,,,,,
SAAE7353,321,,,,,,,
SAAE7522,322,,,,,,,
SKDAB1285,323,,,,,,,
SKDAE1933,324,,,,,,,
SKDAE2127,325,,,,,,,
CCAC1226,326,,,,,,,
