sku,position,,,,,,,
PSAAD5452,327,,,,,,,
PSAAD6657,328,,,,,,,
PSAAD5406,329,,,,,,,
PSAAD5598,330,,,,,,,
SAAD4852,331,,,,,,,
SAAE7346,332,,,,,,,
SKDAA11948,333,,,,,,,
SKDAA17086,334,,,,,,,
PGWAA0477,335,,,,,,,
PSAAD4934,336,,,,,,,
SAAD6099,337,,,,,,,
SKDAC1605,338,,,,,,,
SAAA30069,339,,,,,,,
SAAE7315,340,,,,,,,
SKDAA17678,341,,,,,,,
SKDAE2211,342,,,,,,,
SAAE7440,343,,,,,,,
CCAC1504,344,,,,,,,
PSAAC4170,345,,,,,,,
SAAA27392,346,,,,,,,
PSKDAA15765,347,,,,,,,
PSKDAA15927,348,,,,,,,
SAAA25398,349,,,,,,,
SKDAA11386,350,,,,,,,
PSAAD5612,351,,,,,,,
SAAA26850,352,,,,,,,
SAAA29983,353,,,,,,,
SAAD6074,354,,,,,,,
SAAD6075,355,,,,,,,
SKDAA13506,356,,,,,,,
SKDAA17536,357,,,,,,,
CCAC1214,358,,,,,,,
CCAC1312,359,,,,,,,
SAAA25084,360,,,,,,,
SAAD6120,361,,,,,,,
SKDAA14032,362,,,,,,,
SKDAA17383,363,,,,,,,
PSAAC4060,364,,,,,,,
SAAA25251,365,,,,,,,
SAAC4265,366,,,,,,,
SAAD5580,367,,,,,,,
SAAD6108,368,,,,,,,
SAAD6127,369,,,,,,,
SAAE7388,370,,,,,,,
KRTAA0282,371,,,,,,,
CCAA4114,372,,,,,,,
PSAAD5596,373,,,,,,,
SAAD5478,374,,,,,,,
SAAD6106,375,,,,,,,
CCAC1216,376,,,,,,,
SAAA29984,377,,,,,,,
SKDAE2178,378,,,,,,,
CCAE1669,379,,,,,,,
SAAA29966,380,,,,,,,
SKDAA13508,381,,,,,,,
SKDAA16585,382,,,,,,,
SKDAA17113,383,,,,,,,
SKDAD1739,384,,,,,,,
SAAA22390,385,,,,,,,
CCAC1320,386,,,,,,,
PSAAD5064,387,,,,,,,
CCAA2259,388,,,,,,,
SAAD6068,389,,,,,,,
SKDAA17668,390,,,,,,,
CCAA4027,391,,,,,,,
CCAC1477,392,,,,,,,
CCAC1223,393,,,,,,,
SAAA26643,394,,,,,,,
SAAA27473,395,,,,,,,
SAAD4749,396,,,,,,,
PSKDAA16708,397,,,,,,,
SAAA12832,398,,,,,,,
SAAA25393,399,,,,,,,
SAAD6061,400,,,,,,,
SKDAE2207,401,,,,,,,
PSAAD5609,402,,,,,,,
PSAAD6646,403,,,,,,,
SKDAA17290,404,,,,,,,
PSKDAC1520,405,,,,,,,
SAAE7588,406,,,,,,,
SAAD4851,407,,,,,,,
SKDAA17325,408,,,,,,,
SAAA29837,409,,,,,,,
CCAC1225,410,,,,,,,
PSAAB1805,411,,,,,,,
SKDAA14547,412,,,,,,,
SKDAC1606,413,,,,,,,
SKDAE2051,414,,,,,,,
CCAC1215,415,,,,,,,
PSAAD5620,416,,,,,,,
SAAC3923,417,,,,,,,
SKDAC1547,418,,,,,,,
PSKDAA15905,419,,,,,,,
CCAB1180,420,,,,,,,
SAAD5273,421,,,,,,,
CCAE1665,422,,,,,,,
PSAAA28416,423,,,,,,,
PSAAC4288,424,,,,,,,
PSKDAA15947,425,,,,,,,
SAAD4811,426,,,,,,,
SAAD6390,427,,,,,,,
SKDAB1298,428,,,,,,,
SKDAC1582,429,,,,,,,
SKDAD1764,430,,,,,,,
PSAAA28598,431,,,,,,,
PSAAD6808,432,,,,,,,
PSAAD6825,433,,,,,,,
PSKDAA16089,434,,,,,,,
SAAA21464,435,,,,,,,
SAAD5263,436,,,,,,,
SAAD6077,437,,,,,,,
SAAD6752,438,,,,,,,
SKDAD1876,439,,,,,,,
CCAC1491,440,,,,,,,
MNSAA0035,441,,,,,,,
SAAE7347,442,,,,,,,
SKDAA14570,443,,,,,,,
SKDAA16930,444,,,,,,,
SKDAA17378,445,,,,,,,
SKDAE1935,446,,,,,,,
SKDAE2133,447,,,,,,,
SAAA21458,448,,,,,,,
SAAD6397,449,,,,,,,
SKDAD1863,450,,,,,,,
CCAA4072,451,,,,,,,
CCAE1670,452,,,,,,,
PSAAD6836,453,,,,,,,
Blouse,454,,,,,,,
PSKDAD1795,455,,,,,,,
SAAA25455,456,,,,,,,
SAAA30076,457,,,,,,,
SAAD4834,458,,,,,,,
SAAE7430,459,,,,,,,
SKDAE2132,460,,,,,,,
PSKDAA15795,461,,,,,,,
SAAA27261,462,,,,,,,
SAAC3966,463,,,,,,,
SAAD4841,464,,,,,,,
SAAD6130,465,,,,,,,
SKDAA17381,466,,,,,,,
PSAAE7655,467,,,,,,,
SAAA21459,468,,,,,,,
SAAC3209,469,,,,,,,
SAAD4855,470,,,,,,,
SAAE7203,471,,,,,,,
SKDAA16695,472,,,,,,,
SKDAD1728,473,,,,,,,
SKDAD1868,474,,,,,,,
SAAD5576,475,,,,,,,
CCAC1319,476,,,,,,,
