Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
AND,*,*,10000.0000,9068.0000
AND,*,*,11000.0000,10030.0000
AND,*,*,12000.0000,10992.0000
AND,*,*,13000.0000,11954.0000
AND,*,*,14000.0000,12916.0000
AND,*,*,15000.0000,13877.0000
AND,*,*,16000.0000,14757.0000
AND,*,*,17000.0000,15636.0000
AND,*,*,18000.0000,16515.0000
AND,*,*,19000.0000,17395.0000
AND,*,*,20000.0000,18274.0000
AND,*,*,21000.0000,19154.0000
AND,*,*,22000.0000,20033.0000
AND,*,*,23000.0000,20912.0000
AND,*,*,24000.0000,21792.0000
AND,*,*,25000.0000,22671.0000
AND,*,*,26000.0000,23523.0000
AND,*,*,27000.0000,24375.0000
AND,*,*,28000.0000,25227.0000
AND,*,*,29000.0000,26079.0000
AND,*,*,30000.0000,26930.0000
AND,*,*,31000.0000,27782.0000
AND,*,*,32000.0000,28634.0000
AND,*,*,33000.0000,29486.0000
AND,*,*,34000.0000,30338.0000
AND,*,*,35000.0000,31190.0000
AND,*,*,36000.0000,32042.0000
AND,*,*,37000.0000,32894.0000
AND,*,*,38000.0000,33745.0000
AND,*,*,39000.0000,34597.0000
AND,*,*,40000.0000,35449.0000
AND,*,*,41000.0000,36301.0000
AND,*,*,42000.0000,37153.0000
AND,*,*,43000.0000,38005.0000
AND,*,*,44000.0000,38857.0000
AND,*,*,45000.0000,39709.0000
AND,*,*,46000.0000,40560.0000
AND,*,*,47000.0000,41412.0000
AND,*,*,48000.0000,42264.0000
AND,*,*,49000.0000,43116.0000
AND,*,*,50000.0000,43968.0000
ARE,*,*,500.0000,481.0000
ARE,*,*,1000.0000,481.0000
ARE,*,*,1500.0000,550.0000
ARE,*,*,2000.0000,687.0000
ARE,*,*,2500.0000,824.0000
ARE,*,*,3000.0000,893.0000
ARE,*,*,3500.0000,1031.0000
ARE,*,*,4000.0000,1168.0000
ARE,*,*,4500.0000,1237.0000
ARE,*,*,5000.0000,1374.0000
ARE,*,*,5500.0000,1511.0000
ARE,*,*,6000.0000,1649.0000
ARE,*,*,6500.0000,1786.0000
ARE,*,*,7000.0000,1924.0000
ARE,*,*,7500.0000,2061.0000
ARE,*,*,8000.0000,2198.0000
ARE,*,*,8500.0000,2336.0000
ARE,*,*,9000.0000,2473.0000
